FIPSCode,LocationType,Location,ParentCounty,GradeLevel,TimeFrame,DataFormat,Data
06601770,School District,Alameda Unified,Alameda County,Grade 5,2014,Percent,26.7
06601770,School District,Alameda Unified,Alameda County,Grade 5,2015,Percent,30.6
06601770,School District,Alameda Unified,Alameda County,Grade 5,2016,Percent,28.6
06601770,School District,Alameda Unified,Alameda County,Grade 5,2017,Percent,28.4
06601770,School District,Alameda Unified,Alameda County,Grade 5,2018,Percent,31.0
06601770,School District,Alameda Unified,Alameda County,Grade 7,2014,Percent,25.2
06601770,School District,Alameda Unified,Alameda County,Grade 7,2015,Percent,25.8
06601770,School District,Alameda Unified,Alameda County,Grade 7,2016,Percent,22.2
06601770,School District,Alameda Unified,Alameda County,Grade 7,2017,Percent,27.5
06601770,School District,Alameda Unified,Alameda County,Grade 7,2018,Percent,28.0
06601770,School District,Alameda Unified,Alameda County,Grade 9,2014,Percent,29.5
06601770,School District,Alameda Unified,Alameda County,Grade 9,2015,Percent,25.0
06601770,School District,Alameda Unified,Alameda County,Grade 9,2016,Percent,24.0
06601770,School District,Alameda Unified,Alameda County,Grade 9,2017,Percent,20.3
06601770,School District,Alameda Unified,Alameda County,Grade 9,2018,Percent,24.2
06001,County,Alameda County,,Grade 5,2014,Percent,38.6
06001,County,Alameda County,,Grade 5,2015,Percent,35.1
06001,County,Alameda County,,Grade 5,2016,Percent,36.2
06001,County,Alameda County,,Grade 5,2017,Percent,34.8
06001,County,Alameda County,,Grade 5,2018,Percent,36.2
06001,County,Alameda County,,Grade 7,2014,Percent,39.1
06001,County,Alameda County,,Grade 7,2015,Percent,35.6
06001,County,Alameda County,,Grade 7,2016,Percent,34.4
06001,County,Alameda County,,Grade 7,2017,Percent,34.4
06001,County,Alameda County,,Grade 7,2018,Percent,36.6
06001,County,Alameda County,,Grade 9,2014,Percent,36.9
06001,County,Alameda County,,Grade 9,2015,Percent,34.3
06001,County,Alameda County,,Grade 9,2016,Percent,33.1
06001,County,Alameda County,,Grade 9,2017,Percent,34.5
06001,County,Alameda County,,Grade 9,2018,Percent,33.8
06601860,School District,Albany City Unified,Alameda County,Grade 5,2014,Percent,21.7
06601860,School District,Albany City Unified,Alameda County,Grade 5,2015,Percent,24.1
06601860,School District,Albany City Unified,Alameda County,Grade 5,2016,Percent,17.7
06601860,School District,Albany City Unified,Alameda County,Grade 5,2017,Percent,19.8
06601860,School District,Albany City Unified,Alameda County,Grade 5,2018,Percent,18.9
06601860,School District,Albany City Unified,Alameda County,Grade 7,2014,Percent,21.7
06601860,School District,Albany City Unified,Alameda County,Grade 7,2015,Percent,25.3
06601860,School District,Albany City Unified,Alameda County,Grade 7,2016,Percent,26.4
06601860,School District,Albany City Unified,Alameda County,Grade 7,2017,Percent,27.4
06601860,School District,Albany City Unified,Alameda County,Grade 7,2018,Percent,28.2
06601860,School District,Albany City Unified,Alameda County,Grade 9,2014,Percent,27.4
06601860,School District,Albany City Unified,Alameda County,Grade 9,2015,Percent,24.8
06601860,School District,Albany City Unified,Alameda County,Grade 9,2016,Percent,18.0
06601860,School District,Albany City Unified,Alameda County,Grade 9,2017,Percent,25.9
06601860,School District,Albany City Unified,Alameda County,Grade 9,2018,Percent,27.5
06604740,School District,Berkeley Unified,Alameda County,Grade 5,2014,Percent,31.4
06604740,School District,Berkeley Unified,Alameda County,Grade 5,2015,Percent,20.4
06604740,School District,Berkeley Unified,Alameda County,Grade 5,2016,Percent,26.6
06604740,School District,Berkeley Unified,Alameda County,Grade 5,2017,Percent,25.0
06604740,School District,Berkeley Unified,Alameda County,Grade 5,2018,Percent,28.4
06604740,School District,Berkeley Unified,Alameda County,Grade 7,2014,Percent,29.8
06604740,School District,Berkeley Unified,Alameda County,Grade 7,2015,Percent,31.2
06604740,School District,Berkeley Unified,Alameda County,Grade 7,2016,Percent,32.2
06604740,School District,Berkeley Unified,Alameda County,Grade 7,2017,Percent,23.8
