FIPSCode,LocationType,Location,ParentCounty,Gender,GradeLevel,TimeFrame,DataFormat,Data
06,State,California,,Female,Grade 5,2014,Percent,37.1
06,State,California,,Female,Grade 5,2015,Percent,37.1
06,State,California,,Female,Grade 5,2016,Percent,36.9
06,State,California,,Female,Grade 5,2017,Percent,37.5
06,State,California,,Female,Grade 5,2018,Percent,36.8
06,State,California,,Female,Grade 7,2014,Percent,36.8
06,State,California,,Female,Grade 7,2015,Percent,36.9
06,State,California,,Female,Grade 7,2016,Percent,36.2
06,State,California,,Female,Grade 7,2017,Percent,36.9
06,State,California,,Female,Grade 7,2018,Percent,37.0
06,State,California,,Female,Grade 9,2014,Percent,34.5
06,State,California,,Female,Grade 9,2015,Percent,34.8
06,State,California,,Female,Grade 9,2016,Percent,35.1
06,State,California,,Female,Grade 9,2017,Percent,36.2
06,State,California,,Female,Grade 9,2018,Percent,36.1
06,State,California,,Male,Grade 5,2014,Percent,43.7
06,State,California,,Male,Grade 5,2015,Percent,43.5
06,State,California,,Male,Grade 5,2016,Percent,43.7
06,State,California,,Male,Grade 5,2017,Percent,43.8
06,State,California,,Male,Grade 5,2018,Percent,44.0
06,State,California,,Male,Grade 7,2014,Percent,40.1
06,State,California,,Male,Grade 7,2015,Percent,40.0
06,State,California,,Male,Grade 7,2016,Percent,39.9
06,State,California,,Male,Grade 7,2017,Percent,40.4
06,State,California,,Male,Grade 7,2018,Percent,40.9
06,State,California,,Male,Grade 9,2014,Percent,37.0
06,State,California,,Male,Grade 9,2015,Percent,37.0
06,State,California,,Male,Grade 9,2016,Percent,37.3
06,State,California,,Male,Grade 9,2017,Percent,38.2
06,State,California,,Male,Grade 9,2018,Percent,38.5
06001,County,Alameda County,,Female,Grade 5,2014,Percent,35.2
06001,County,Alameda County,,Female,Grade 5,2015,Percent,31.3
06001,County,Alameda County,,Female,Grade 5,2016,Percent,32.8
06001,County,Alameda County,,Female,Grade 5,2017,Percent,31.8
06001,County,Alameda County,,Female,Grade 5,2018,Percent,32.9
06001,County,Alameda County,,Female,Grade 7,2014,Percent,36.8
06001,County,Alameda County,,Female,Grade 7,2015,Percent,34.2
06001,County,Alameda County,,Female,Grade 7,2016,Percent,32.4
06001,County,Alameda County,,Female,Grade 7,2017,Percent,32.0
06001,County,Alameda County,,Female,Grade 7,2018,Percent,34.8
06001,County,Alameda County,,Female,Grade 9,2014,Percent,35.5
06001,County,Alameda County,,Female,Grade 9,2015,Percent,33.4
06001,County,Alameda County,,Female,Grade 9,2016,Percent,31.9
06001,County,Alameda County,,Female,Grade 9,2017,Percent,34.3
06001,County,Alameda County,,Female,Grade 9,2018,Percent,32.8
06001,County,Alameda County,,Male,Grade 5,2014,Percent,41.9
06001,County,Alameda County,,Male,Grade 5,2015,Percent,38.8
06001,County,Alameda County,,Male,Grade 5,2016,Percent,39.5
06001,County,Alameda County,,Male,Grade 5,2017,Percent,37.7
06001,County,Alameda County,,Male,Grade 5,2018,Percent,39.3
06001,County,Alameda County,,Male,Grade 7,2014,Percent,41.3
06001,County,Alameda County,,Male,Grade 7,2015,Percent,36.9
06001,County,Alameda County,,Male,Grade 7,2016,Percent,36.3
06001,County,Alameda County,,Male,Grade 7,2017,Percent,36.7
06001,County,Alameda County,,Male,Grade 7,2018,Percent,38.4
06001,County,Alameda County,,Male,Grade 9,2014,Percent,38.3
06001,County,Alameda County,,Male,Grade 9,2015,Percent,35.2
