FIPSCode,LocationType,Location,ParentCounty,TypeofSchool,StaffResponse,TimeFrame,DataFormat,Data
06,State,California,,Elementary School,Nearly All Students,2011_2013,Percent,13.1
06,State,California,,Elementary School,Most Students,2011_2013,Percent,54.7
06,State,California,,Elementary School,Some Students,2011_2013,Percent,28.6
06,State,California,,Elementary School,Few Students,2011_2013,Percent,3.4
06,State,California,,Elementary School,Almost No Students,2011_2013,Percent,0.2
06,State,California,,Elementary School,Nearly All Students,2013_2015,Percent,11.0
06,State,California,,Elementary School,Most Students,2013_2015,Percent,53.3
06,State,California,,Elementary School,Some Students,2013_2015,Percent,31.3
06,State,California,,Elementary School,Few Students,2013_2015,Percent,4.1
06,State,California,,Elementary School,Almost No Students,2013_2015,Percent,0.3
06001,County,Alameda County,,Elementary School,Nearly All Students,2011_2013,Percent,S
06001,County,Alameda County,,Elementary School,Most Students,2011_2013,Percent,S
06001,County,Alameda County,,Elementary School,Some Students,2011_2013,Percent,S
06001,County,Alameda County,,Elementary School,Few Students,2011_2013,Percent,S
06001,County,Alameda County,,Elementary School,Almost No Students,2011_2013,Percent,S
06001,County,Alameda County,,Elementary School,Nearly All Students,2013_2015,Percent,8.6
06001,County,Alameda County,,Elementary School,Most Students,2013_2015,Percent,57.1
06001,County,Alameda County,,Elementary School,Some Students,2013_2015,Percent,31.4
06001,County,Alameda County,,Elementary School,Few Students,2013_2015,Percent,2.9
06001,County,Alameda County,,Elementary School,Almost No Students,2013_2015,Percent,0.0
06601860,School District,Albany City Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,24.6
06601860,School District,Albany City Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,71.9
06601860,School District,Albany City Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,1.8
06601860,School District,Albany City Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,1.8
06601860,School District,Albany City Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,S
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,S
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,S
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,S
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Almost No Students,2011_2013,Percent,S
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Nearly All Students,2013_2015,Percent,18.8
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Most Students,2013_2015,Percent,62.5
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Some Students,2013_2015,Percent,18.8
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Few Students,2013_2015,Percent,0.0
06607800,School District,Castro Valley Unified,Alameda County,Elementary School,Almost No Students,2013_2015,Percent,0.0
06612630,School District,Emery Unified,Alameda County,Elementary School,Nearly All Students,2011_2013,Percent,3.2
06612630,School District,Emery Unified,Alameda County,Elementary School,Most Students,2011_2013,Percent,58.1
06612630,School District,Emery Unified,Alameda County,Elementary School,Some Students,2011_2013,Percent,32.3
06612630,School District,Emery Unified,Alameda County,Elementary School,Few Students,2011_2013,Percent,6.5
