"County","FIPS","Year","Grade","School Type","Measure Type","Variable","Value"
"Connecticut","09","2006-2010","Total","Total","Number","Enrolled Students",691256
"Connecticut","09","2006-2010","Total","Total","Number","Margins of Error",4180
"Connecticut","09","2006-2010","Total","Total","Percent","Enrolled Students",100
"Connecticut","09","2006-2010","Total","Total","Percent","Margins of Error",0
"Connecticut","09","2006-2010","Total","Public","Number","Enrolled Students",592749
"Connecticut","09","2006-2010","Total","Public","Number","Margins of Error",4087
"Connecticut","09","2006-2010","Total","Public","Percent","Enrolled Students",85.7
"Connecticut","09","2006-2010","Total","Public","Percent","Margins of Error",0
"Connecticut","09","2006-2010","Total","Private","Number","Enrolled Students",98507
"Connecticut","09","2006-2010","Total","Private","Number","Margins of Error",2059
"Connecticut","09","2006-2010","Total","Private","Percent","Enrolled Students",14.3
"Connecticut","09","2006-2010","Total","Private","Percent","Margins of Error",0
"Connecticut","09","2006-2010","Pre-K","Total","Number","Enrolled Students",62298
"Connecticut","09","2006-2010","Pre-K","Total","Number","Margins of Error",1483
"Connecticut","09","2006-2010","Pre-K","Total","Percent","Enrolled Students",9
"Connecticut","09","2006-2010","Pre-K","Total","Percent","Margins of Error",0
"Connecticut","09","2006-2010","Pre-K","Public","Number","Enrolled Students",29928
"Connecticut","09","2006-2010","Pre-K","Public","Number","Margins of Error",1065
"Connecticut","09","2006-2010","Pre-K","Public","Percent","Enrolled Students",48
"Connecticut","09","2006-2010","Pre-K","Public","Percent","Margins of Error",1
"Connecticut","09","2006-2010","Pre-K","Private","Number","Enrolled Students",32370
"Connecticut","09","2006-2010","Pre-K","Private","Number","Margins of Error",1180
"Connecticut","09","2006-2010","Pre-K","Private","Percent","Enrolled Students",52
"Connecticut","09","2006-2010","Pre-K","Private","Percent","Margins of Error",1
"Connecticut","09","2006-2010","K","Total","Number","Enrolled Students",43077
"Connecticut","09","2006-2010","K","Total","Number","Margins of Error",1462
"Connecticut","09","2006-2010","K","Total","Percent","Enrolled Students",6.2
"Connecticut","09","2006-2010","K","Total","Percent","Margins of Error",0
"Connecticut","09","2006-2010","K","Public","Number","Enrolled Students",37489
"Connecticut","09","2006-2010","K","Public","Number","Margins of Error",1415
"Connecticut","09","2006-2010","K","Public","Percent","Enrolled Students",87
"Connecticut","09","2006-2010","K","Public","Percent","Margins of Error",1
"Connecticut","09","2006-2010","K","Private","Number","Enrolled Students",5588
"Connecticut","09","2006-2010","K","Private","Number","Margins of Error",428
"Connecticut","09","2006-2010","K","Private","Percent","Enrolled Students",13
"Connecticut","09","2006-2010","K","Private","Percent","Margins of Error",1
"Connecticut","09","2006-2010","Grades 1 to 4","Total","Number","Enrolled Students",183145
"Connecticut","09","2006-2010","Grades 1 to 4","Total","Number","Margins of Error",2294
"Connecticut","09","2006-2010","Grades 1 to 4","Total","Percent","Enrolled Students",26.5
"Connecticut","09","2006-2010","Grades 1 to 4","Total","Percent","Margins of Error",0
"Connecticut","09","2006-2010","Grades 1 to 4","Public","Number","Enrolled Students",165371
"Connecticut","09","2006-2010","Grades 1 to 4","Public","Number","Margins of Error",2360
"Connecticut","09","2006-2010","Grades 1 to 4","Public","Percent","Enrolled Students",90.3
"Connecticut","09","2006-2010","Grades 1 to 4","Public","Percent","Margins of Error",1
"Connecticut","09","2006-2010","Grades 1 to 4","Private","Number","Enrolled Students",17774
"Connecticut","09","2006-2010","Grades 1 to 4","Private","Number","Margins of Error",916
"Connecticut","09","2006-2010","Grades 1 to 4","Private","Percent","Enrolled Students",9.7
"Connecticut","09","2006-2010","Grades 1 to 4","Private","Percent","Margins of Error",0
"Connecticut","09","2006-2010","Grades 5 to 8","Total","Number","Enrolled Students",192776
"Connecticut","09","2006-2010","Grades 5 to 8","Total","Number","Margins of Error",2156
"Connecticut","09","2006-2010","Grades 5 to 8","Total","Percent","Enrolled Students",27.9
